Dataset,Encoding,Parametri Q,C,RBF KTA,Quantum KTA,Coeff. Geom,Acc,F1
Linear,Amplitude,{},1.0,0.1115,0.0271,1773.7790,0.5500,0.5475
Linear,Angle,{},1.0,0.1115,0.0742,2.8514,0.9500,0.9499
Linear,Basis,{'tau_bit_per_feature': 1},1.0,0.1115,0.0554,927.4974,0.5000,0.3333
Linear,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15]]}",1.0,0.1115,0.0326,8.1540,0.9375,0.9373
Linear,Projected,"{'gamma': 0.1, 'numero_layer': 2}",10.0,0.1115,0.0008,663.7510,0.8250,0.8246
Circles,Amplitude,{},1.0,0.4306,0.0002,6663.3446,0.5125,0.5106
Circles,Angle,{},1.0,0.4306,0.0438,5133.6237,1.0000,1.0000
Circles,Basis,{'tau_bit_per_feature': 1},1.0,0.4306,0.0070,6608.6628,0.4625,0.4604
Circles,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",1.0,0.4306,0.0085,5057.7947,1.0000,1.0000
Circles,Projected,"{'gamma': 0.1, 'numero_layer': 1}",1.0,0.4306,0.0103,4517.4629,1.0000,1.0000
Moons,Amplitude,{},1.0,0.3601,0.0013,6925.0102,0.4500,0.4486
Moons,Angle,{},100.0,0.3601,0.2052,3868.9780,0.9625,0.9625
Moons,Basis,{'tau_bit_per_feature': 1},1.0,0.3601,0.2906,5105.0237,0.8750,0.8749
Moons,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",1000.0,0.3601,0.0585,2952.3330,0.9875,0.9875
Moons,Projected,"{'gamma': 5.0, 'numero_layer': 2}",100.0,0.3601,0.2916,119.0308,0.9875,0.9875
Quantum_Ad_Hoc,Amplitude,{},1.0,0.1944,0.0031,5068.7189,0.5000,0.4994
Quantum_Ad_Hoc,Angle,{},1000.0,0.1944,0.0041,3956.2910,0.7250,0.7247
Quantum_Ad_Hoc,Basis,{'tau_bit_per_feature': 1},1.0,0.1944,0.0953,4638.7616,0.5375,0.5364
Quantum_Ad_Hoc,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",1000.0,0.1944,0.0039,3843.7585,0.7375,0.7374
Quantum_Ad_Hoc,Projected,"{'gamma': 1.0, 'numero_layer': 2}",1000.0,0.1944,0.0191,921.3460,0.9750,0.9750
XOR_Alta_Dim,Amplitude,{},1000.0,0.0561,0.0223,1036.0735,0.4750,0.4743
XOR_Alta_Dim,Angle,{},1.0,0.0561,0.0186,3.4151,0.3625,0.3622
XOR_Alta_Dim,Basis,{'tau_bit_per_feature': 1},1.0,0.0561,0.0559,1.0897,0.5125,0.3473
XOR_Alta_Dim,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15]]}",1.0,0.0561,0.0051,6.1590,0.4375,0.4319
XOR_Alta_Dim,Projected,"{'gamma': 0.1, 'numero_layer': 1}",100.0,0.0561,0.0002,1020.4200,0.4500,0.4479
Breast_Cancer,Amplitude,{},100.0,0.2152,0.0750,2484.8614,0.8000,0.7945
Breast_Cancer,Angle,{},10.0,0.2152,0.1756,8.4013,0.9375,0.9368
Breast_Cancer,Basis,{'tau_bit_per_feature': 1},1.0,0.2152,0.0577,2277.1743,0.6000,0.4883
Breast_Cancer,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15]]}",100.0,0.2152,0.1228,23.9170,0.9625,0.9621
Breast_Cancer,Projected,"{'gamma': 5.0, 'numero_layer': 1}",1000.0,0.2152,0.1141,188.7853,0.9375,0.9377
