Dataset,Encoding,Parametri Q,C,RBF KTA,Quantum KTA,Coeff. Geom,Acc,F1
Linear,Amplitude,{},1.0,0.1195,0.0327,2212.1715,0.5000,0.5000
Linear,Angle,{},1.0,0.1195,0.0580,14.6921,0.9000,0.8997
Linear,Basis,{'tau_bit_per_feature': 1},1.0,0.1195,0.0702,1492.7953,0.7000,0.6931
Linear,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]]}",1.0,0.1195,0.0213,21.5483,0.8500,0.8485
Linear,Projected,"{'gamma': 1.0, 'numero_layer': 2}",1000.0,0.1195,0.0096,86.6470,0.7500,0.7442
Circles,Amplitude,{},1.0,0.4328,0.0021,4729.5486,0.4500,0.4373
Circles,Angle,{},1.0,0.4328,0.0518,3671.6072,1.0000,1.0000
Circles,Basis,{'tau_bit_per_feature': 2},1.0,0.4328,0.2109,2823.2348,0.9000,0.8990
Circles,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",1.0,0.4328,0.0103,3627.9924,1.0000,1.0000
Circles,Projected,"{'gamma': 0.1, 'numero_layer': 1}",1.0,0.4328,0.0126,3405.0879,1.0000,1.0000
Moons,Amplitude,{},1.0,0.3727,0.0019,4895.9814,0.4500,0.4373
Moons,Angle,{},1000.0,0.3727,0.2269,2668.4189,0.9750,0.9750
Moons,Basis,{'tau_bit_per_feature': 2},1.0,0.3727,0.2594,2835.5972,0.9000,0.8990
Moons,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",1000.0,0.3727,0.1042,2376.1365,0.9750,0.9750
Moons,Projected,"{'gamma': 5.0, 'numero_layer': 2}",100.0,0.3727,0.2759,93.4528,0.9750,0.9750
Quantum_Ad_Hoc,Amplitude,{},1.0,0.2021,0.0278,3673.0467,0.4000,0.4000
Quantum_Ad_Hoc,Angle,{},100.0,0.2021,0.0034,2838.1944,0.6250,0.6165
Quantum_Ad_Hoc,Basis,{'tau_bit_per_feature': 2},1.0,0.2021,0.1921,3199.3913,0.6250,0.5718
Quantum_Ad_Hoc,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",100.0,0.2021,0.0036,2490.0038,0.6750,0.6615
Quantum_Ad_Hoc,Projected,"{'gamma': 5.0, 'numero_layer': 2}",100.0,0.2021,0.1119,140.5928,0.8500,0.8500
XOR_Alta_Dim,Amplitude,{},1000.0,0.0791,0.0236,1000.0003,0.5500,0.5500
XOR_Alta_Dim,Angle,{},10.0,0.0791,0.0103,19.8137,0.5000,0.4588
XOR_Alta_Dim,Basis,{'tau_bit_per_feature': 1},1.0,0.0791,0.0586,1000.0000,0.4750,0.4225
XOR_Alta_Dim,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [3, 4], [3, 5], [3, 6], [3, 7], [4, 5], [4, 6], [4, 7], [5, 6], [5, 7], [6, 7]]}",100.0,0.0791,0.0061,12.6948,0.4000,0.4000
XOR_Alta_Dim,Projected,"{'gamma': 1.0, 'numero_layer': 1}",100.0,0.0791,0.0032,868.9365,0.4500,0.4207
Breast_Cancer,Amplitude,{},10.0,0.2482,0.0758,2648.1758,0.6750,0.6726
Breast_Cancer,Angle,{},10.0,0.2482,0.1750,53.5545,0.9500,0.9492
Breast_Cancer,Basis,{'tau_bit_per_feature': 2},1.0,0.2482,0.0911,1964.9355,0.7000,0.6880
Breast_Cancer,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]]}",100.0,0.2482,0.1157,57.0600,0.9250,0.9244
Breast_Cancer,Projected,"{'gamma': 5.0, 'numero_layer': 1}",10.0,0.2482,0.1399,310.4978,0.9750,0.9748
